row,date,attributes,values,brand
291,2020-12-24,bw_neutral,16712,Nike
292,2020-12-23,bw_neutral,17203,Nike
293,2020-12-22,bw_neutral,16120,Nike
294,2020-12-21,bw_neutral,15180,Nike
295,2020-12-20,bw_neutral,17203,Nike
296,2020-12-19,bw_neutral,16978,Nike
297,2020-12-18,bw_neutral,16733,Nike
298,2020-12-17,bw_neutral,16712,Nike
299,2020-12-16,bw_neutral,17325,Nike
300,2020-12-15,bw_neutral,15957,Nike
301,2020-12-14,bw_neutral,17121,Nike
302,2020-12-13,bw_neutral,14302,Nike
303,2020-12-12,bw_neutral,14588,Nike
304,2020-12-11,bw_neutral,16590,Nike
305,2020-12-10,bw_neutral,13709,Nike
306,2020-12-09,bw_neutral,12892,Nike
307,2020-12-08,bw_neutral,16243,Nike
308,2020-12-07,bw_neutral,16835,Nike
309,2020-12-06,bw_neutral,11952,Nike
310,2020-12-05,bw_neutral,14771,Nike
311,2020-12-04,bw_neutral,15323,Nike
312,2020-12-03,bw_neutral,20206,Nike
313,2020-12-02,bw_neutral,21391,Nike
314,2020-12-01,bw_neutral,20901,Nike
315,2020-11-30,bw_neutral,24906,Nike
316,2020-11-29,bw_neutral,15017,Nike
317,2020-11-28,bw_neutral,12871,Nike
318,2020-11-27,bw_neutral,14302,Nike
319,2020-11-26,bw_neutral,14281,Nike
320,2020-11-25,bw_neutral,17754,Nike
321,2020-11-24,bw_neutral,18327,Nike
322,2020-11-23,bw_neutral,18980,Nike
323,2020-11-22,bw_neutral,15180,Nike
324,2020-11-21,bw_neutral,12647,Nike
325,2020-11-20,bw_neutral,19798,Nike
326,2020-11-19,bw_neutral,19798,Nike
327,2020-11-18,bw_neutral,17346,Nike
328,2020-11-17,bw_neutral,16712,Nike
329,2020-11-16,bw_neutral,15221,Nike
330,2020-11-15,bw_neutral,19920,Nike
331,2020-11-14,bw_neutral,15262,Nike
332,2020-11-13,bw_neutral,21453,Nike
333,2020-11-12,bw_neutral,21453,Nike
334,2020-11-11,bw_neutral,23680,Nike
335,2020-11-10,bw_neutral,24619,Nike
336,2020-11-09,bw_neutral,20145,Nike
337,2020-11-08,bw_neutral,12851,Nike
338,2020-11-07,bw_neutral,14302,Nike
339,2020-11-06,bw_neutral,17448,Nike
340,2020-11-05,bw_neutral,19409,Nike
341,2020-11-04,bw_neutral,14036,Nike
342,2020-11-03,bw_neutral,16324,Nike
343,2020-11-02,bw_neutral,17019,Nike
344,2020-11-01,bw_neutral,13975,Nike
345,2020-10-31,bw_neutral,13198,Nike
346,2020-10-30,bw_neutral,18878,Nike
347,2020-10-29,bw_neutral,19552,Nike
348,2020-10-28,bw_neutral,17632,Nike
349,2020-10-27,bw_neutral,21228,Nike
350,2020-10-26,bw_neutral,17387,Nike
351,2020-10-25,bw_neutral,12442,Nike
352,2020-10-24,bw_neutral,17264,Nike
353,2020-10-23,bw_neutral,25886,Nike
354,2020-10-22,bw_neutral,17857,Nike
355,2020-10-21,bw_neutral,23251,Nike
356,2020-10-20,bw_neutral,25416,Nike
357,2020-10-19,bw_neutral,47809,Nike
358,2020-10-18,bw_neutral,15446,Nike
359,2020-10-17,bw_neutral,16059,Nike
360,2020-10-16,bw_neutral,20533,Nike
361,2020-10-15,bw_neutral,21514,Nike
362,2020-10-14,bw_neutral,17652,Nike
363,2020-10-13,bw_neutral,20329,Nike
364,2021-04-12,bw_negative,5046,Nike
365,2021-04-11,bw_negative,2124,Nike
366,2021-04-10,bw_negative,2717,Nike
367,2021-04-09,bw_negative,4086,Nike
368,2021-04-08,bw_negative,5822,Nike
369,2021-04-07,bw_negative,11155,Nike
370,2021-04-06,bw_negative,11993,Nike
371,2021-04-05,bw_negative,14445,Nike
372,2021-04-04,bw_negative,16958,Nike
373,2021-04-03,bw_negative,21371,Nike
374,2021-04-02,bw_negative,26867,Nike
375,2021-04-01,bw_negative,6864,Nike
376,2021-03-31,bw_negative,5761,Nike
377,2021-03-30,bw_negative,16774,Nike
378,2021-03-29,bw_negative,33446,Nike
379,2021-03-28,bw_negative,33568,Nike
380,2021-03-27,bw_negative,13362,Nike
